postal_code,Judet,localitate,Tip Artera,Denumire,Zona de livrare,Livrare sambata
10011,Bucuresti,Bucuresti,Strada,Academiei nr. 7,0,DA
10012,Bucuresti,Bucuresti,Strada,Academiei nr. 9-29,0,DA
10013,Bucuresti,Bucuresti,Strada,Academiei nr. 31-T,0,DA
10014,Bucuresti,Bucuresti,Strada,Academiei nr. 14-18,0,DA
10015,Bucuresti,Bucuresti,Strada,Academiei nr. 20-26,0,DA
10016,Bucuresti,Bucuresti,Strada,Academiei nr. 28-T,0,DA
10017,Bucuresti,Bucuresti,Strada,Edgar Quinet nr. 1-T,0,DA
10018,Bucuresti,Bucuresti,Strada,Edgar Quinet nr. 2-T,0,DA
10019,Bucuresti,Bucuresti,Strada,Biserica Enei,0,DA
10021,Bucuresti,Bucuresti,Pasaj,Comedia,0,DA
10022,Bucuresti,Bucuresti,Pasaj,Majestic,0,DA
10023,Bucuresti,Bucuresti,Pasaj,Victoriei,0,DA
10024,Bucuresti,Bucuresti,Strada,Popisteanu Cristian,0,DA
10025,Bucuresti,Bucuresti,Strada,Dobrescu I. Demetru nr. 1-T,0,DA
10026,Bucuresti,Bucuresti,Strada,Dobrescu I. Demetru nr. 2-T,0,DA
10027,Bucuresti,Bucuresti,Strada,Boteanu,0,DA
10031,Bucuresti,Bucuresti,Strada,Câmpineanu Ion nr. 1-11,0,DA
10032,Bucuresti,Bucuresti,Strada,Câmpineanu Ion nr. 13-15,0,DA
10033,Bucuresti,Bucuresti,Strada,Câmpineanu Ion nr. 17-25,0,DA
10034,Bucuresti,Bucuresti,Strada,Câmpineanu Ion nr. 27,0,DA
10035,Bucuresti,Bucuresti,Strada,Câmpineanu Ion nr. 29-T,0,DA
10036,Bucuresti,Bucuresti,Strada,Câmpineanu Ion nr. 2-16,0,DA
10037,Bucuresti,Bucuresti,Strada,Câmpineanu Ion nr. 18,0,DA
10038,Bucuresti,Bucuresti,Strada,Câmpineanu Ion nr. 20-22,0,DA
10039,Bucuresti,Bucuresti,Strada,Câmpineanu Ion nr. 24-T,0,DA
10041,Bucuresti,Bucuresti,Bulevard,Balcescu Nicolae nr. 1,0,DA
10042,Bucuresti,Bucuresti,Bulevard,Balcescu Nicolae nr. 3-11,0,DA
10043,Bucuresti,Bucuresti,Bulevard,Balcescu Nicolae nr. 13-19,0,DA
10044,Bucuresti,Bucuresti,Bulevard,Balcescu Nicolae nr. 21-23,0,DA
10045,Bucuresti,Bucuresti,Bulevard,Balcescu Nicolae nr. 25-T,0,DA
10046,Bucuresti,Bucuresti,Intrare,Micle Veronica,0,DA
10051,Bucuresti,Bucuresti,Bulevard,Balcescu Nicolae nr. 2-14,0,DA
10052,Bucuresti,Bucuresti,Bulevard,Balcescu Nicolae nr. 16-22,0,DA
10053,Bucuresti,Bucuresti,Bulevard,Balcescu Nicolae nr. 24,0,DA
10054,Bucuresti,Bucuresti,Bulevard,Balcescu Nicolae nr. 26-28,0,DA
10055,Bucuresti,Bucuresti,Bulevard,Balcescu Nicolae nr. 30-T,0,DA
10061,Bucuresti,Bucuresti,Cale,Victoriei nr. 29-37,0,DA
10062,Bucuresti,Bucuresti,Cale,Victoriei nr. 39-45,0,DA
10063,Bucuresti,Bucuresti,Cale,Victoriei nr. 47-53,0,DA
10064,Bucuresti,Bucuresti,Cale,Victoriei nr. 55-65,0,DA
10065,Bucuresti,Bucuresti,Cale,Victoriei nr. 67-81,0,DA
10066,Bucuresti,Bucuresti,Cale,Victoriei nr. 83-85,0,DA
10067,Bucuresti,Bucuresti,Cale,Victoriei nr. 87-93,0,DA
10068,Bucuresti,Bucuresti,Cale,Victoriei nr. 95-105,0,DA
10069,Bucuresti,Bucuresti,Cale,Victoriei nr. 107-109,0,DA
10071,Bucuresti,Bucuresti,Cale,Victoriei nr. 111-141,0,DA
10072,Bucuresti,Bucuresti,Cale,Victoriei nr. 143-153,0,DA
10073,Bucuresti,Bucuresti,Cale,Victoriei nr. 155,0,DA
10074,Bucuresti,Bucuresti,Cale,Victoriei nr. 157-T,0,DA
10081,Bucuresti,Bucuresti,Cale,Victoriei nr. 32-34,0,DA
10082,Bucuresti,Bucuresti,Cale,Victoriei nr. 36-54,0,DA
10083,Bucuresti,Bucuresti,Cale,Victoriei nr. 56,0,DA
10084,Bucuresti,Bucuresti,Cale,Victoriei nr. 58-70,0,DA
10085,Bucuresti,Bucuresti,Cale,Victoriei nr. 72-88,0,DA
10086,Bucuresti,Bucuresti,Piata,Revolutiei,0,DA
10091,Bucuresti,Bucuresti,Cale,Victoriei nr. 90-110,0,DA
10092,Bucuresti,Bucuresti,Cale,Victoriei nr. 112-116,0,DA
10093,Bucuresti,Bucuresti,Cale,Victoriei nr. 118-124,0,DA
10094,Bucuresti,Bucuresti,Cale,Victoriei nr. 126-140,0,DA
10095,Bucuresti,Bucuresti,Cale,Victoriei nr. 142-148,0,DA
10096,Bucuresti,Bucuresti,Cale,Victoriei nr. 150-172,0,DA
10097,Bucuresti,Bucuresti,Cale,Victoriei nr. 174-194,0,DA
10098,Bucuresti,Bucuresti,Cale,Victoriei nr. 196-214,0,DA
10099,Bucuresti,Bucuresti,Cale,Victoriei nr. 216-T,0,DA
